STATION_ID;POSTAL_CODE_ID;POINT_OF_INTEREST_ID;X_KM_COORD_NU;Y_KM_COORD_NU;N_COORD_NU;E_COORD_NU;HEIGHT_ASL_NU;METHODEN_MS_REGION_ID;METHODEN_MM_REGION_ID;METHODEN_ME_REGION_ID
-1;-1;501;631773811;110429321;1110428.978;2631773.312;2886000;208;212;214
-1;-1;502;784357367;139740209;1139739.770;2784358.487;2610000;237;241;243
-1;-1;503;678120462;196489250;1196489.019;2678121.120;1753000;219;228;231
-1;-1;504;760559593;211916744;1211916.593;2760560.241;1501000;222;228;231
-1;-1;505;630059406;148399395;1148399.314;2630059.207;2901000;218;228;231
-1;-1;506;787717993;142091347;1142090.922;2787719.164;2583000;237;241;243
-1;-1;507;712937266;166539258;1166538.874;2712937.719;2524000;223;229;231
-1;-1;508;698013835;174911030;1174910.674;2698014.268;2052000;219;228;231
-1;-1;509;674145464;188209059;1188208.758;2674146.112;1860000;219;228;231
-1;-1;510;695484416;198993724;1198993.437;2695485.076;1727000;221;228;231
-1;-1;511;676616914;169430802;1169430.519;2676617.394;2350000;225;229;231
-1;-1;512;737709095;210835722;1210835.480;2737709.774;2087000;221;228;231
-1;-1;513;798461490;192555087;1192555.069;2798462.360;2341000;224;229;231
-1;-1;514;569402018;94303669;1094303.984;2569401.144;3170000;208;212;214
-1;-1;515;650592876;159166792;1159166.580;2650592.924;2530000;218;228;231
-1;-1;516;612564641;96535027;1096534.837;2612563.847;3507000;208;212;214
-1;-1;517;558230738;109916499;1109916.900;2558230.188;2102000;205;212;214
-1;-1;518;571171349;88647831;1088648.129;2571170.407;2735000;208;212;214
-1;-1;519;710008276;186435408;1186434.949;2710008.857;2947000;221;228;231
-1;-1;520;674609443;172780734;1172780.446;2674609.950;2795000;218;228;231
-1;-1;521;679286800;149757520;1149757.161;2679286.957;1988000;235;240;243
-1;-1;522;616630066;100969465;1100969.199;2616629.408;2886000;208;212;214
-1;-1;523;678858145;178351673;1178351.401;2678858.677;2257000;219;228;231
-1;-1;524;801907520;184319352;1184319.376;2801908.371;2327000;238;241;243
-1;-1;525;665643281;136283958;1136283.454;2665643.203;2267000;234;240;243
-1;-1;526;604728818;132334135;1132334.146;2604728.242;2209000;207;212;214
-1;-1;527;624981605;111763082;1111762.697;2624981.046;2674000;208;212;214
-1;-1;528;682708608;177840890;1177840.573;2682709.096;2150000;219;228;231
-1;-1;529;620150932;112104535;1112104.179;2620150.365;2519000;208;212;214
-1;-1;530;664682319;159870980;1159870.715;2664682.573;2328000;218;228;231
-1;-1;531;612133234;104367975;1104367.662;2612132.619;2825000;208;212;214
-1;-1;532;699430748;144475343;1144474.903;2699431.041;2140000;235;240;243
-1;-1;533;682645640;143701612;1143701.153;2682645.753;1856000;234;240;243
-1;-1;534;570886913;94556227;1094556.477;2570886.038;2826000;208;212;214
-1;-1;535;618602838;108786848;1108786.457;2618602.237;3256000;208;212;214
-1;-1;536;705368152;184336427;1184335.979;2705368.783;2334000;219;228;231
-1;-1;537;610448063;138780101;1138780.129;2610447.613;2507000;207;212;214
-1;-1;538;660069711;157944212;1157943.961;2660069.849;2393000;218;228;231
-1;-1;539;770665279;133366248;1133365.615;2770666.312;2336000;236;240;243
-1;-1;540;748062795;192350362;1192350.044;2748063.557;2000000;223;229;231
-1;-1;541;598376661;95501613;1095501.570;2598375.906;2928000;208;212;214
-1;-1;542;715884261;181794631;1181794.246;2715884.804;2311000;223;229;231
-1;-1;543;571453434;91721693;1091721.978;2571452.525;2691000;208;212;214
-1;-1;544;623588245;103871449;1103871.141;2623587.657;2932000;208;212;214
-1;-1;545;715327819;186685769;1186685.394;2715328.401;2111000;221;228;231
-1;-1;546;695843052;164552394;1164551.993;2695843.417;2310000;223;229;231
-1;-1;547;634701795;138280450;1138280.281;2634701.547;2783000;207;212;214
-1;-1;548;674614269;146655245;1146654.925;2674614.375;2338000;235;240;243
-1;-1;549;680208948;155380168;1155379.875;2680209.203;2570000;225;229;231
-1;-1;550;774828680;133695389;1133694.851;2774829.674;2574000;236;240;243
-1;-1;551;643998596;106394425;1106393.967;2643998.086;2894000;208;212;214
-1;-1;552;651857664;152519705;1152519.427;2651857.585;3048000;225;229;231
-1;-1;553;725012346;198676081;1198675.733;2725012.954;2273000;221;228;231
-1;-1;554;788747385;165206222;1165206.063;2788748.322;2594000;237;241;243
-1;-1;555;641142133;141649953;1141649.765;2641141.886;2640000;207;212;214
-1;-1;556;720062701;161431388;1161431.102;2720063.349;2172000;235;240;243
-1;-1;557;805493073;190154347;1190154.401;2805493.918;2250000;238;241;243
-1;-1;558;629145598;89554111;1089553.710;2629144.768;2883000;208;212;214
-1;-1;559;628519041;151333984;1151333.908;2628518.868;2455000;218;228;231
-1;-1;560;765106433;131579322;1131578.780;2765107.374;1904000;236;240;243
-1;-1;561;638419617;101072424;1101071.978;2638418.995;3030000;208;212;214
-1;-1;562;659586039;163908888;1163908.733;2659586.318;2205000;218;228;231
-1;-1;563;669556854;171933416;1171933.145;2669557.319;1886000;218;228;231
-1;-1;564;772568348;165535141;1165534.859;2772569.271;2252000;224;229;231
-1;-1;565;792564716;193971931;1193971.914;2792565.591;2141000;224;229;231
-1;-1;566;654720537;156277256;1156277.031;2654720.545;2731000;218;228;231
-1;-1;567;613040863;98946654;1098946.432;2613040.140;3540000;208;212;214
-1;-1;568;562051469;114313425;1114313.831;2562050.888;2595000;205;212;214
-1;-1;569;676991239;180383650;1180383.409;2676991.811;2647000;218;228;231
-1;-1;570;646864874;112732099;1112731.683;2646864.427;2428000;234;240;243
-1;-1;571;644613641;157444772;1157444.555;2644613.663;3299000;218;228;231
-1;-1;572;617531500;97783401;1097783.132;2617530.751;3225000;208;212;214
-1;-1;573;601198130;87765254;1087765.313;2601197.182;3179000;208;212;214
-1;-1;574;641080623;156972658;1156972.415;2641080.662;2791000;218;228;231
-1;-1;575;607120670;91037463;1091037.426;2607119.725;2980000;208;212;214
-1;-1;576;644957158;146116740;1146116.360;2644957.041;3013000;207;212;214
-1;-1;577;634039367;136322267;1136322.081;2634039.112;2598000;207;212;214
-1;-1;578;638829972;152882551;1152882.285;2638829.902;2755000;218;228;231
-1;-1;579;655785699;167803681;1167803.424;2655785.983;2330000;218;228;231
-1;-1;580;768531921;177888644;1177888.415;2768532.731;2293000;224;229;231
-1;-1;581;617387191;91926712;1091926.481;2617386.310;4003000;208;212;214
-1;-1;582;633049600;102611846;1102611.505;2633049.014;3855000;208;212;214
-1;-1;583;571324906;86252445;1086252.735;2571323.960;2667000;208;212;214
-1;-1;584;683020605;170010704;1170010.363;2683021.064;2400000;225;229;231
-1;-1;585;795941007;194630025;1194630.026;2795941.981;2065000;224;229;231
-1;-1;586;620950501;104681124;1104680.821;2620949.924;3786000;208;212;214
-1;-1;587;637960091;155424634;1155424.293;2637960.093;2663000;218;228;231
-1;-1;588;649969172;185548006;1185547.867;2649969.660;1611000;219;228;231
-1;-1;589;650986985;193677575;1193677.513;2650987.543;1543000;219;228;231
-1;-1;590;627343888;186175535;1186175.455;2627344.157;1168000;218;228;231
-1;-1;591;653322650;178604136;1178603.915;2653323.130;1008000;218;228;231
-1;-1;592;668936402;157087717;1157087.437;2668936.688;2164000;225;229;231
-1;-1;593;673025534;147810519;1147810.254;2673025.626;2480000;235;240;243
-1;-1;594;686072955;157063058;1157062.747;2686073.274;2107000;235;240;243
